day	hour	value
1	24	48
1	23	64
1	22	61
1	21	42
1	20	35
1	19	58
1	18	51
1	17	84
1	16	48
1	15	96
1	14	51
1	13	71
1	12	61
1	11	71
1	10	48
1	9	26
1	8	26
1	7	32
1	6	6
1	5	26
1	4	6
1	3	13
1	2	23
1	1	29
2	24	15
2	23	31
2	22	31
2	21	46
2	20	15
2	19	76
2	18	61
2	17	76
2	16	61
2	15	107
2	14	92
2	13	61
2	12	107
2	11	61
2	10	46
2	9	46
2	8	31
2	7	61
2	6	31
2	5	61
2	4	46
2	3	92
2	2	122
2	1	291
3	24	113
3	23	113
3	22	283
3	21	113
3	20	113
3	19	226
3	18	57
3	17	170
3	16	113
3	15	57
3	14	57
3	13	113
3	12	113
3	11	170
3	10	113
3	9	57
3	8	170
3	7	113
3	6	57
3	5	57
3	4	57
3	3	57
3	2	57
3	1	113
4	24	113
4	23	113
4	22	57
4	21	57
4	20	170
4	19	57
4	17	113
4	16	57
4	14	57
4	13	113
4	12	170
4	6	57
4	5	57
4	4	57
4	1	57
5	24	76
5	23	61
5	22	61
5	21	46
5	20	184
5	19	92
5	18	138
5	17	122
5	16	92
5	15	92
5	14	107
5	13	107
5	12	92
5	11	138
5	10	31
5	9	31
5	8	31
5	7	46
5	6	15
5	5	31
5	4	15
5	3	15
5	2	15
5	1	31
6	24	50
6	23	101
6	22	86
6	21	57
6	20	57
6	19	93
6	18	72
6	17	79
6	16	79
6	15	101
6	14	86
6	13	93
6	12	79
6	11	72
6	10	115
6	9	50
6	8	36
6	7	29
6	6	43
6	5	36
6	4	14
6	3	14
6	2	22
6	1	7
7	24	68
7	23	63
7	22	80
7	21	68
7	20	86
7	19	114
7	18	86
7	17	97
7	16	125
7	15	46
7	14	68
7	13	34
7	12	120
7	11	91
7	10	97
7	9	17
7	8	40
7	7	29
7	6	6
7	5	17
7	4	6
7	3	29
7	2	17
7	1	34
