day	hour	value
1	1	14
1	2	23
1	3	24
1	4	15
1	5	8
1	6	9
1	7	14
1	8	26
1	9	24
1	10	41
1	11	38
1	12	37
1	13	48
1	14	31
1	15	39
1	16	30
1	17	32
1	18	55
1	19	54
1	20	38
1	21	39
1	22	41
1	23	36
1	24	32
2	1	14
2	2	16
2	3	21
2	4	24
2	5	28
2	6	26
2	7	27
2	8	43
2	9	71
2	10	65
2	11	60
2	12	54
2	13	35
2	14	36
2	15	39
2	16	34
2	17	38
2	18	39
2	19	31
2	20	28
2	21	30
2	22	31
2	23	36
2	24	35
3	1	26
3	2	25
3	3	24
3	4	14
3	5	16
3	6	15
3	7	14
3	8	13
3	9	16
3	10	24
3	11	24
3	12	23
3	13	21
3	14	23
3	15	21
3	16	23
3	17	24
3	18	26
3	19	23
3	20	23
3	21	20
3	22	19
3	23	18
3	24	16
4	1	16
4	2	18
4	3	15
4	4	13
4	5	6
4	6	9
4	7	10
4	8	13
4	9	6
4	10	15
4	11	16
4	12	14
4	13	16
4	14	24
4	15	20
4	16	21
4	17	23
4	18	27
4	19	20
4	20	15
4	21	12
4	22	10
4	23	11
4	24	10
5	1	9
5	2	6
5	3	4
5	4	6
5	5	7
5	6	2
5	7	8
5	8	12
5	9	13
5	10	25
5	11	26
5	12	28
5	13	24
5	14	19
5	15	26
5	16	20
5	17	24
5	18	28
5	19	27
5	20	32
5	21	33
5	22	28
5	23	21
5	24	19
6	1	5
6	2	6
6	3	8
6	4	12
6	5	14
6	6	13
6	7	16
6	8	9
6	9	19
6	10	23
6	11	24
6	12	24
6	13	26
6	14	28
6	15	21
6	16	20
6	17	23
6	18	24
6	19	24
6	20	26
6	21	18
6	22	28
6	23	19
6	24	19
7	1	19
7	2	23
7	3	24
7	4	26
7	5	24
7	6	26
7	7	29
7	8	36
7	9	37
7	10	46
7	11	46
7	12	51
7	13	58
7	14	51
7	15	44
7	16	43
7	17	38
7	18	51
7	19	53
7	20	48
7	21	44
7	22	36
7	23	32
7	24	28
