day	hour	value
1	24	37
1	23	47
1	22	68
1	21	76
1	20	64
1	19	70
1	18	56
1	17	61
1	16	48
1	15	57
1	14	63
1	13	60
1	12	64
1	11	48
1	10	39
1	9	37
1	8	22
1	7	17
1	6	8
1	5	6
1	4	9
1	3	7
1	2	16
1	1	29
2	24	19
2	23	27
2	22	38
2	21	36
2	20	58
2	19	68
2	18	59
2	17	69
2	16	64
2	15	77
2	14	84
2	13	107
2	12	123
2	11	108
2	10	81
2	9	86
2	8	55
2	7	25
2	6	15
2	5	13
2	4	15
2	3	17
2	2	27
2	1	48
3	24	75
3	23	107
3	22	75
3	21	107
3	20	88
3	19	57
3	18	63
3	17	100
3	16	82
3	15	107
3	14	88
3	13	69
3	12	50
3	11	44
3	10	44
3	9	50
3	8	31
3	7	13
3	6	13
3	5	25
3	4	19
3	3	31
3	2	31
3	1	82
4	24	83
4	23	137
4	22	165
4	21	134
4	20	119
4	19	93
4	18	122
4	17	88
4	16	57
4	15	70
4	14	51
4	13	42
4	12	21
4	11	26
4	10	24
4	9	16
4	8	8
4	7	5
4	6	2
4	5	3
4	4	7
4	3	5
4	2	10
4	1	13
5	24	52
5	23	71
5	22	79
5	21	74
5	20	79
5	19	77
5	18	68
5	17	73
5	16	71
5	15	86
5	14	68
5	13	71
5	12	77
5	11	64
5	10	80
5	9	68
5	8	38
5	7	22
5	6	9
5	5	10
5	4	8
5	3	19
5	2	16
5	1	31
6	24	52
6	23	61
6	22	86
6	21	83
6	20	80
6	19	72
6	18	74
6	17	84
6	16	72
6	15	77
6	14	81
6	13	91
6	12	76
6	11	72
6	10	63
6	9	45
6	8	32
6	7	16
6	6	12
6	5	7
6	4	6
6	3	15
6	2	24
6	1	33
7	24	49
7	23	62
7	22	78
7	21	91
7	20	81
7	19	95
7	18	69
7	17	79
7	16	73
7	15	79
7	14	90
7	13	86
7	12	76
7	11	79
7	10	56
7	9	39
7	8	26
7	7	12
7	6	9
7	5	7
7	4	15
7	3	10
7	2	18
7	1	37
