day	hour	value
1	24	4
1	23	2
1	22	3
1	21	2
1	20	1
1	19	2
1	18	3
1	17	4
1	16	1
1	15	3
1	14	5
1	13	2
1	12	1
1	11	3
1	10	6
1	9	1
1	8	1
1	7	2
1	6	3
1	5	2
1	4	1
1	3	2
1	2	1
1	1	3
2	24	3
2	23	2
2	22	2
2	21	4
2	20	1
2	19	1
2	18	2
2	17	2
2	16	6
2	15	3
2	14	7
2	13	4
2	12	5
2	11	7
2	10	3
2	9	2
2	8	3
2	7	1
2	6	3
2	5	1
2	4	3
2	3	2
2	2	1
2	1	1
3	24	1
3	23	1
3	22	2
3	21	4
3	20	1
3	19	3
3	18	2
3	17	5
3	16	4
3	15	3
3	14	4
3	13	5
3	12	2
3	11	3
3	10	3
3	9	3
3	8	4
3	7	3
3	6	5
3	5	1
3	4	1
3	3	1
3	2	2
3	1	1
4	24	4
4	23	3
4	22	6
4	21	1
4	20	2
4	19	1
4	18	9
4	17	3
4	16	1
4	15	3
4	14	5
4	13	3
4	12	4
4	11	4
4	10	4
4	9	3
4	8	4
4	7	3
4	6	0
4	5	1
4	4	0
4	3	0
4	2	2
4	1	0
5	24	4
5	23	5
5	22	5
5	21	1
5	20	1
5	19	3
5	18	5
5	17	11
5	16	6
5	15	5
5	14	4
5	13	3
5	12	5
5	11	6
5	10	8
5	9	1
5	8	2
5	7	4
5	6	1
5	5	1
5	4	3
5	3	2
5	2	4
5	1	3
6	24	7
6	23	8
6	22	11
6	21	12
6	20	11
6	19	10
6	18	3
6	17	7
6	16	2
6	15	3
6	14	7
6	13	1
6	12	6
6	11	7
6	10	1
6	9	5
6	8	1
6	7	3
6	6	6
6	5	1
6	4	4
6	3	3
6	2	2
6	1	2
7	24	16
7	23	15
7	22	18
7	21	18
7	20	12
7	19	14
7	18	14
7	17	15
7	16	12
7	15	8
7	14	12
7	13	12
7	12	10
7	11	8
7	10	8
7	9	8
7	8	5
7	7	6
7	6	4
7	5	4
7	4	2
7	3	2
7	2	3
7	1	8
