day	hour	value
1	24	30
1	23	36
1	22	36
1	21	41
1	20	44
1	19	43
1	18	52
1	17	51
1	16	50
1	15	51
1	14	56
1	13	62
1	12	62
1	11	55
1	10	52
1	9	43
1	8	39
1	7	33
1	6	28
1	5	25
1	4	28
1	3	23
1	2	24
1	1	37
2	24	36
2	23	45
2	22	50
2	21	53
2	20	55
2	19	57
2	18	63
2	17	60
2	16	67
2	15	67
2	14	71
2	13	82
2	12	78
2	11	76
2	10	74
2	9	55
2	8	53
2	7	45
2	6	36
2	5	35
2	4	38
2	3	36
2	2	31
2	1	39
3	24	27
3	23	26
3	22	36
3	21	38
3	20	39
3	19	48
3	18	58
3	17	53
3	16	61
3	15	60
3	14	66
3	13	86
3	12	77
3	11	81
3	10	85
3	9	73
3	8	61
3	7	50
3	6	42
3	5	42
3	4	45
3	3	46
3	2	45
3	1	53
4	24	36
4	23	41
4	22	52
4	21	49
4	20	53
4	19	63
4	18	60
4	17	57
4	16	68
4	15	67
4	14	74
4	13	87
4	12	73
4	11	76
4	10	71
4	9	68
4	8	49
4	7	41
4	6	36
4	5	38
4	4	35
4	3	35
4	2	31
4	1	41
5	24	42
5	23	50
5	22	52
5	21	62
5	20	60
5	19	62
5	18	68
5	17	66
5	16	74
5	15	67
5	14	72
5	13	74
5	12	66
5	11	65
5	10	60
5	9	57
5	8	50
5	7	41
5	6	35
5	5	32
5	4	37
5	3	32
5	2	36
5	1	37
6	24	41
6	23	48
6	22	52
6	21	60
6	20	66
6	19	66
6	18	65
6	17	61
6	16	64
6	15	66
6	14	77
6	13	74
6	12	77
6	11	70
6	10	63
6	9	51
6	8	47
6	7	41
6	6	34
6	5	34
6	4	36
6	3	31
6	2	32
6	1	43
7	24	58
7	23	56
7	22	63
7	21	67
7	20	70
7	19	67
7	18	70
7	17	68
7	16	70
7	15	70
7	14	74
7	13	72
7	12	64
7	11	63
7	10	56
7	9	44
7	8	43
7	7	34
7	6	33
7	5	30
7	4	33
7	3	30
7	2	28
7	1	38
