@RELATION tweets
  @ATTRIBUTE id string
  @ATTRIBUTE date_time DATE "yyyy-MM-dd HH:mm:ss"
  @ATTRIBUTE hashtags string
  @ATTRIBUTE retweet {'y', 'n'}
  @ATTRIBUTE retweet_count numeric
  @ATTRIBUTE followers_count numeric
  @ATTRIBUTE likes numeric
  @ATTRIBUTE text_content string


  @DATA
  
'970299029425926144',"2018-03-04 14:04:50",'Oscars','n',0,13,0,"Lupita Nyong'o, Margot Robbie and more stars have been rocking the red carpet ahead of the #Oscars! https://t.co/mgP0R1TCYO"
'970299025160359936',"2018-03-04 14:04:49",'Oscars','n',1043,61747,4266,"Who will be watching the #Oscars? I hope one of my fellow students win for their inflamatory roles on @CNN. Which o2026 https://t.co/bNVRp19rBC"
'970299023755239424',"2018-03-04 14:04:49",'Oscars','y',1043,61747,4266,"Who will be watching the #Oscars? I hope one of my fellow students win for their inflamatory roles on @CNN. Which o2026 https://t.co/bNVRp19rBC"
'970299014443929601',"2018-03-04 14:04:46",'Oscars','n',0,5274,0,""
'970299011830833153',"2018-03-04 14:04:46",'Oscars','n',0,2427,0,"I2019m dressed and ready for the  #OscarsI2019ve prepared my speech.. Gimme the award I deserve it for being best dog2026 https://t.co/VDS4U0fsyU"
'970299008378920960',"2018-03-04 14:04:45",'Oscars','y',396,3845996,2744,"Oh, hi, Mark. d83dde42  #TheLastJedi https://t.co/cJENAHQ6xW"
'970299007003234304',"2018-03-04 14:04:45",'Oscars','y',971,105431,1295,"Thank you Jimmy for Reminding Us What Time And What Station To Boycott The #Oscars Hollywood Has Overstepped The2026 https://t.co/CgiBo7V3Tt"
'970299005715525632',"2018-03-04 14:04:44",'Oscars','y',64,2834453,162,"#Oscars: 10 things to know about best picture nominee #GetOut, which cost $4.5M to make but grossed more than $250M2026 https://t.co/eH3b8V2HCA"
'970299002360160257',"2018-03-04 14:04:44",'Oscars','y',1,571,3,"LADY BIRDyou got my vote@TheAcademy @btglifestyle #Oscars Let the show begin already. https://t.co/zOVG901XvU"
'970299000183250944',"2018-03-04 14:04:43",'Oscars','y',1043,61747,4266,"Who will be watching the #Oscars? I hope one of my fellow students win for their inflamatory roles on @CNN. Which o2026 https://t.co/bNVRp19rBC"
'970298998803304449',"2018-03-04 14:04:43",'Oscars','n',0,219,0,"Officially rooting for #GetOut to win every award it was nominated for #Oscars"
'970298997486247937',"2018-03-04 14:04:42",'Oscars','y',242,3845996,1276,"Tune-in to the #Oscars LIVE Tonight at 8e/5p on @ABCNetwork! https://t.co/lnv4bzCApy"
'970298991807262720',"2018-03-04 14:04:41",'Oscars','n',0,97916,0,"Here2019s an award-worthy 2018 Oscars workout game | @305Fitness @SadieKurzban @EmilyDeCiccio https://t.co/wU8g79XCAU https://t.co/BlHJ0I674R"
'970298990645383168',"2018-03-04 14:04:41",'Oscars','y',8,32490,23,"Can @MeghannFeghann &amp; @thekatiestevens predict the future? Catch the the 90th #Oscars LIVE tonight at 8PM EST on AB2026 https://t.co/kpWqHMK4M2"
'970298990444056576',"2018-03-04 14:04:41",'Oscars','n',0,1848,0,"The latest The Contrapuntist Daily! https://t.co/CSjHyEtegU #oscars #management"
'970298990083411968',"2018-03-04 14:04:41",'Oscars','n',0,3,0,"#OSCARS nominee choices:#BestPicture: #PhantomThread#Director: #PaulThomasAnderson#LeadingActor:2026 https://t.co/ECstnRpRi5"
'970298986069307392',"2018-03-04 14:04:40",'Oscars','y',39,355,45,"Every year #Oscars award nominated maximum people very excited  #Oscar2018 award but what will happen when God com2026 https://t.co/TAxKzKrqoE"
'970298983796166657',"2018-03-04 14:04:39",'Oscars','y',54,111009,346,"The Disaster Artist 2 script --Tommy Wiseau -- "
'970298977592725504',"2018-03-04 14:04:38",'Oscars','y',8,135482,49,"I can't wait to not watch tonight.#Oscars"
'970298976808382464',"2018-03-04 14:04:38",'Oscars','y',11,1465125,46,"Obviously we know who Cam is rooting for tonight at the #Oscars. Don2019t miss it LIVE tonight at 8e|5p on ABC! https://t.co/Cx8ZwyydVz"
'970298976661639168',"2018-03-04 14:04:37",'Oscars','y',30,1422376,24,"#Oscars All the runners and riders ahead of the 90th Academy Awards #Oscars90 https://t.co/YLD19PQM5A"
'970298975294246912',"2018-03-04 14:04:37",'Oscars','y',11,1465125,46,"Obviously we know who Cam is rooting for tonight at the #Oscars. Don2019t miss it LIVE tonight at 8e|5p on ABC! https://t.co/Cx8ZwyydVz"
'970298975281545217',"2018-03-04 14:04:37",'Oscars','y',7,13563586,10,"It's #Oscar Sunday. Coverage begins at 1pm ET with a 3-hour special, "
'970298970605006854',"2018-03-04 14:04:36",'Oscars','y',5,11985730,12,"13 of the most shocking moments in #Oscars history: https://t.co/kTOLx3r54j https://t.co/nyO3cMTiZw"
'970298968235171840',"2018-03-04 14:04:35",'Oscars','y',29,768042,49,"This year's presenters! Who are you looking forward to seeing at The #Oscars ? #ThatsHowItsDone https://t.co/rxgAfpDYCd"
'970298964217155584',"2018-03-04 14:04:35",'Oscars','y',3047,12306354,25446,"Felt compelled to tell you ... @pasekandpaul @kealasettle @GreatestShowman @ZacEfron @Zendaya @TheAcademy #Oscars2026 https://t.co/ylqKMCptj0"
'970298963126620166',"2018-03-04 14:04:34",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298957724377088',"2018-03-04 14:04:33",'Oscars','y',2,3501,3,"Getting ready for the Oscars, how do I look? -LS #Oscars #StarWars https://t.co/j9MJq9MSaI"
'970298955950186497',"2018-03-04 14:04:33",'Oscars','y',1592,228626,14743,"Oh hi Mark !  Use The Force and get Greg and I into The #Oscars @TheAcademy @jimmykimmel @JimmyKimmelLive2026 https://t.co/kR8WjmBbjy"
'970298954482114560',"2018-03-04 14:04:32",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298954444410880',"2018-03-04 14:04:32",'Oscars','y',0,4212,9,"@DennisDMZ I2019ll be on a #MAGA pontoon boat right behind you d83edd23d83dde18 #BoycottOSCARS2018 #Oscars #BoycottHollywood2026 https://t.co/CX0NRhLpbX"
'970298953806749696',"2018-03-04 14:04:32",'Oscars','y',64,2834453,162,"#Oscars: 10 things to know about best picture nominee #GetOut, which cost $4.5M to make but grossed more than $250M2026 https://t.co/eH3b8V2HCA"
'970298950162046977',"2018-03-04 14:04:31",'Oscars','n',0,703522,0,"The #oscars doesn2019t always get it right. This year is no exception. https://t.co/IT4FMyapu5"
'970298947444015104',"2018-03-04 14:04:31",'Oscars','y',2,589,3,""
'970298946076717057',"2018-03-04 14:04:30",'Oscars','y',283,15970794,1419,"10 years ago Miley Cyrus made her #Oscars red carpet debut: https://t.co/Wu7mefK95B https://t.co/OXmzZAujjH"
'970298942821994498',"2018-03-04 14:04:29",'Oscars','y',3,3458,2,"Kathy Griffin2019s transition is almost complete. #Oscars https://t.co/pvu2DznrQi"
'970298940682833920',"2018-03-04 14:04:29",'Oscars','y',64,2834453,162,"#Oscars: 10 things to know about best picture nominee #GetOut, which cost $4.5M to make but grossed more than $250M2026 https://t.co/eH3b8V2HCA"
'970298940309549056',"2018-03-04 14:04:29",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298937386127360',"2018-03-04 14:04:28",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298933363666949',"2018-03-04 14:04:27",'Oscars','y',168,3160980,474,"Put your friends to the test. Take the official #Oscars Challenge today. https://t.co/1juJRbLQLC"
'970298933040869377',"2018-03-04 14:04:27",'Oscars','y',11,1465125,46,"Obviously we know who Cam is rooting for tonight at the #Oscars. Don2019t miss it LIVE tonight at 8e|5p on ABC! https://t.co/Cx8ZwyydVz"
'970298929463091201',"2018-03-04 14:04:26",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298928640897024',"2018-03-04 14:04:26",'Oscars','y',3032,5859641,8200,"#Zootopia-inspired #Oscars Posters Fur Your Consideration: https://t.co/MzbrKeQw9J (Cc: @TheRock) https://t.co/asdT51g9Xm"
'970298920604758017',"2018-03-04 14:04:24",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298915449909248',"2018-03-04 14:04:23",'Oscars','y',5,11985730,12,"13 of the most shocking moments in #Oscars history: https://t.co/kTOLx3r54j https://t.co/nyO3cMTiZw"
'970298914761973763',"2018-03-04 14:04:23",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298910777495552',"2018-03-04 14:04:22",'Oscars','y',14,44921,41,"Bette Davis wins Best Actress for DANGEROUS (1935) and JEZEBEL (1938) #Oscars https://t.co/V2GiikF36l"
'970298910215430144',"2018-03-04 14:04:22",'Oscars','n',0,6709,0,"We're wishing the best of luck to all the nominees at tonight's #Oscars - Here's a thread of our reviews for the fi2026 https://t.co/0S0yaFWjkv"
'970298910072713222',"2018-03-04 14:04:22",'Oscars','n',0,19,0,"@trailertrack Do you think #InfinityWar New Trailer will release during #Oscars :-)"
'970298907694698496',"2018-03-04 14:04:21",'Oscars','y',1,11058,1,"The best way to celebrate 90 years of honoring movies is with THE movie snack. #Oscars https://t.co/45lbWo05Zm"
'970298902019686401',"2018-03-04 14:04:20",'Oscars','y',73,481066,399,"The #Oscars are taking place tonight! Jennifer Lawrence is confirmed to attend the ceremony and will present the 'B2026 https://t.co/dcQBQlu1BZ"
'970298897880027136',"2018-03-04 14:04:19",'Oscars','n',0,498,0,"It's #Oscars Sunday!"
'970298893899632641',"2018-03-04 14:04:18",'Oscars','y',1426,3160980,3157,"Twelve hours until showtime. #Oscars"
'970298891831775232',"2018-03-04 14:04:17",'Oscars','n',0,704,0,"Best Action Designer is definitely a category that Stunt Coordinators should be recognized for at the Oscars!2026 https://t.co/IU1fy649d1"
'970298890556715008',"2018-03-04 14:04:17",'Oscars','y',11,1465125,46,"Obviously we know who Cam is rooting for tonight at the #Oscars. Don2019t miss it LIVE tonight at 8e|5p on ABC! https://t.co/Cx8ZwyydVz"
'970298885418770432',"2018-03-04 14:04:16",'Oscars','y',971,105431,1294,"Thank you Jimmy for Reminding Us What Time And What Station To Boycott The #Oscars Hollywood Has Overstepped The2026 https://t.co/CgiBo7V3Tt"
'970298884747661312',"2018-03-04 14:04:16",'Oscars','y',11,1465125,46,"Obviously we know who Cam is rooting for tonight at the #Oscars. Don2019t miss it LIVE tonight at 8e|5p on ABC! https://t.co/Cx8ZwyydVz"
'970298879920037888',"2018-03-04 14:04:14",'Oscars','y',3,503,7,"#oscars00a0day, the breadwinner (2017) directed by nora twomey and produced by angelina jolie was nominated for best a2026 https://t.co/lfHFMZmS74"
'970298876497399808',"2018-03-04 14:04:14",'Oscars','n',0,2873,0,"Looking forward to the #Oscars tonight. Should be a good show. :)"
